"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.cloud2025.UpgradeSpringCloud_2025","7","4","6400","0.0","2600","12700","6128.0","5900"
"org.openrewrite.java.spring.ChangeSpringPropertyValue","7","4","0","0.0","0","12297500","475132.0","1016000"
"org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","7","4","10700","0.0","4100","20800","7416.0","7200"
"org.openrewrite.java.migrate.jakarta.RemovedJakartaFacesExpressionLanguageClasses","7","4","8500","0.0","2000","23600","2672.0","5600"
"org.openrewrite.java.spring.security5.UseNewSecurityMatchers","7","4","0","0.0","0","307500","311288.0","300200"
"org.openrewrite.java.migrate.jakarta.JavaxJspToJakartaJsp","7","4","12400","0.0","6400","12500","1200.0","7300"
"org.openrewrite.java.testing.mockito.MockUtilsToStatic","7","4","0","0.0","0","19600","3064.0","4100"
"org.openrewrite.java.ChangePackageInStringLiteral","7","4","0","0.0","0","1553200","884732.0","854500"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","7","4","0","0.0","0","1079300","204.0","253100"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_1","7","4","50800","0.0","5300","112200","4348.0","46600"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_2","7","4","58700","0.0","9600","107300","9200.0","21500"
"org.openrewrite.java.migrate.BeanDiscovery","7","4","0","0.0","0","147000","1328.0","142500"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_0","7","4","49800","0.0","5400","86700","3196.0","11800"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_5","7","4","44500","0.0","12000","51100","10232.0","10100"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_6","7","4","26800","0.0","5700","40100","10232.0","10100"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_3","7","4","49100","0.0","11700","69000","5616.0","9200"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_4","7","4","40000","0.0","10200","55200","6136.0","8100"
"org.openrewrite.maven.UpgradePluginVersion","7","4","0","0.0","0","2936100","22524.0","343600"
"org.openrewrite.java.migrate.UpgradePluginsForJava17","7","4","10800","0.0","8400","12400","2544.0","5600"
"org.openrewrite.java.migrate.UpgradePluginsForJava11","7","4","9900","0.0","6500","25600","6384.0","12300"
