"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.boot2.MaybeAddSpringBootStarterActuator","7","4","12500","0.0","3400","5800","912.0","2300"
"org.openrewrite.java.spring.batch.MigrateJobBuilderFactory","7","4","0","0.0","0","26200","15356.0","14900"
"org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","7","4","2800","0.0","1400","5400","1008.0","1900"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","7","4","3200","0.0","1100","3300","600.0","1000"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioInputBuffers","7","4","4500","0.0","1000","6600","508.0","500"
"org.openrewrite.java.RemoveAnnotation","7","4","0","0.0","0","534400","155644.0","155400"
"org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation","7","4","0","0.0","0","11300","5884.0","5700"
"org.openrewrite.java.spring.boot3.MigrateDropWizardDependencies","7","4","1800","0.0","1300","4000","504.0","1800"
"org.openrewrite.java.testing.junit5.JUnitParamsRunnerToParameterized","7","4","0","0.0","0","13000","8700.0","8200"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","7","4","1800","0.0","1000","2900","604.0","1300"
"org.openrewrite.java.migrate.jakarta.UpdateApacheCommonsEmailDependencies","7","4","3100","0.0","2400","3000","592.0","700"
"org.openrewrite.java.testing.mockito.VerifyZeroToNoMoreInteractions","7","4","1642200","0.0","1173000","105200","6016.0","60800"
"org.openrewrite.yaml.ChangeKey","7","4","0","0.0","0","28733200","2.936012E7","28730700"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","7","4","3100","0.0","2200","8200","1208.0","4800"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_1","7","4","4300","0.0","3400","4700","496.0","2600"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","7","4","2300","0.0","1000","10600","3824.0","3800"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_3","7","4","2600","0.0","1600","4900","696.0","2100"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_2","7","4","4500","0.0","3000","5600","496.0","3300"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_5","7","4","1700","0.0","400","9800","8184.0","8100"
"org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_4","7","4","1400","0.0","300","18700","16376.0","16100"
"org.openrewrite.java.spring.data.UseJpaRepositoryGetReferenceById","7","4","2900","0.0","1800","4900","912.0","2000"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","7","4","3500","0.0","2400","4000","496.0","1900"
"org.openrewrite.java.testing.junit5.AddMissingTestBeforeAfterAnnotations","7","4","0","0.0","0","3425400","3407868.0","3389100"
"org.openrewrite.java.migrate.jakarta.JavaxOrmXmlToJakartaOrmXml","7","4","3900","0.0","1500","6000","1840.0","1800"
"org.openrewrite.apache.httpclient5.MigrateRequestConfig","7","4","0","0.0","0","20000","3452.0","3400"
"org.openrewrite.java.spring.framework.MigrateWebExchangeBindExceptionResolveErrorMethod","7","4","0","0.0","0","5000","1148.0","2300"
"org.openrewrite.java.testing.junit5.IgnoreToDisabled","7","4","0","0.0","0","22000","1720.0","17400"
"org.openrewrite.java.spring.data.UseJpaRepositoryGetById","7","4","2700","0.0","1500","6700","592.0","3800"
"org.openrewrite.hibernate.MigrateResultCheckStyleToExpectation","7","4","0","0.0","0","11500","4860.0","4700"
"org.openrewrite.java.spring.boot2.GetErrorAttributes","7","4","0","0.0","0","8400","5628.0","5400"
"org.openrewrite.hibernate.EmptyInterceptorToInterface","7","4","0","0.0","0","741100","163836.0","162200"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_7","7","4","4900","0.0","1500","20600","3320.0","3600"
"org.openrewrite.openapi.swagger.MigrateApiResponsesToApiResponses","7","4","4700","0.0","3900","17400","8184.0","8100"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","7","4","0","0.0","0","479400","253948.0","247500"
"org.openrewrite.java.testing.testcontainers.Testcontainers2ContainerClasses","7","4","0","0.0","0","15300","100.0","15200"
"org.openrewrite.java.spring.cloud2024.DependencyUpgrades","7","4","900","0.0","500","4100","504.0","2300"
"org.openrewrite.java.migrate.jakarta.JakartaWebXml6","7","4","1500","0.0","900","3200","496.0","1000"
"org.openrewrite.java.spring.SeparateApplicationPropertiesByProfile","7","4","1255300","0.0","1156100","990500","819136.0","812100"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","7","4","427500","0.0","273500","1860900","77312.0","1706500"
"org.openrewrite.maven.ChangeDependencyClassifier","7","4","0","0.0","0","638600","508.0","161300"
"org.openrewrite.maven.AddPluginDependency","7","4","0","0.0","0","1200","100.0","900"
"org.openrewrite.java.spring.kafka.UpgradeSpringKafka_3_0","7","4","2200","0.0","1200","5900","696.0","3000"
"org.openrewrite.openapi.swagger.ConvertApiResponseToContent","7","4","0","0.0","0","8500","3964.0","3900"
"org.openrewrite.java.spring.framework.MigrateWebMvcConfigurerAdapter","7","4","0","0.0","0","85000","15868.0","20800"
"org.openrewrite.java.migrate.javaee8.ApacheDefaultProvider","7","4","2100","0.0","1300","7500","1016.0","4200"
"org.openrewrite.maven.ChangeDependencyScope","7","4","0","0.0","0","143100","204.0","78600"
"org.openrewrite.java.testing.testcontainers.ExplicitContainerImages","7","4","0","0.0","0","7000","204.0","6400"
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderTimeoutByInt","7","4","0","0.0","0","19300","14332.0","14200"
"org.openrewrite.java.migrate.jakarta.RemoveBeanIsNullable","7","4","0","0.0","0","101200","77312.0","75000"
"org.openrewrite.java.spring.boot2.MigrateSpringBootServletInitializerPackageName","7","4","5100","0.0","3200","4600","592.0","2100"
"org.openrewrite.java.spring.cloud2025.UpgradeSpringCloud_2025","7","4","800","0.0","200","3900","1208.0","1200"
"org.openrewrite.java.spring.ChangeSpringPropertyValue","7","4","0","0.0","0","6451600","221180.0","652000"
"org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","7","4","2400","0.0","1500","7700","2672.0","3000"
"org.openrewrite.java.migrate.jakarta.RemovedJakartaFacesExpressionLanguageClasses","7","4","7300","0.0","5300","9900","700.0","4200"
"org.openrewrite.java.spring.security5.UseNewSecurityMatchers","7","4","0","0.0","0","289200","294908.0","283600"
"org.openrewrite.java.migrate.jakarta.JavaxJspToJakartaJsp","7","4","1900","0.0","1100","4100","816.0","1300"
"org.openrewrite.java.testing.mockito.MockUtilsToStatic","7","4","0","0.0","0","11800","1912.0","2200"
"org.openrewrite.java.ChangePackageInStringLiteral","7","4","0","0.0","0","627400","155644.0","155500"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","7","4","0","0.0","0","510400","100.0","142800"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_1","7","4","16100","0.0","3700","48300","9212.0","9100"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_2","7","4","25700","0.0","10800","39700","2556.0","9600"
